estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,true,family,design,degree,N,rep,seed,task_estimator,max_control_odds,effective_sample_size,max_normalized_weight,fold_sizes
PRE,k=-4,,,-4.0,pretrend,-0.0002196444879535776,0.0007561483129046179,0.007143889026156718,-0.014841569011436413,-0.012369939795734813,0.008357676846724706,0.008476667362315404,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE,k=-3,,,-3.0,pretrend,0.00049835780918127,0.0019125787365114697,0.009151080311548465,-0.01543148724136027,-0.010835261519367307,0.013873118726152685,0.015538057356806242,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE,k=-2,,,-2.0,pretrend,-7.844853040293344e-05,-0.002720233052899623,0.007936724021167428,-0.012495094528513483,-0.01193185676581714,0.01138258089055589,0.014872941088993473,0.375,0.75,0.75,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE,slope,,,,pretrend,-1.852383029277668e-05,0.00020090037330952506,0.002925580706782904,-0.004574649653134446,-0.00437445705079416,0.005145005995258292,0.005296868696927932,0.4583333333333333,0.9166666666666666,0.9166666666666666,0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.0048040664144070695,-0.004600171596996782,0.011400073811811245,-0.023441823971001908,-0.022673077076748278,0.01151520050384108,0.014541481805804456,0.2916666666666667,0.5833333333333334,0.5833333333333334,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.0024601830292181877,-0.0028700225124969987,0.010353595836405636,-0.01883846810359744,-0.01783483872816408,0.012441780279387454,0.01867524880753142,0.375,0.75,0.75,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.0012843261522162495,0.0012207072581631672,0.0126064407087799,-0.02132650710788418,-0.020993867332056357,0.015396095942232433,0.016187008653752256,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,0.002215829660474841,0.0033039854389023083,0.008632806672767833,-0.013797835392572155,-0.011767218348177304,0.014787292116354546,0.015137379873296993,0.375,0.75,0.75,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,0.0020700826295809815,0.0025310056350136487,0.012158200326793324,-0.017129318976578135,-0.01267202866344975,0.021429845262835326,0.023071029728124737,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,0.000562173956185391,4.3381738413894805e-05,0.009177168315918485,-0.013844426285268096,-0.011441426634308848,0.015120465201799148,0.01831842208585059,0.5,1.0,1.0,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
