dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE,k=-4,,,-4.0,pretrend,-0.1249655560152834,0.1977210716039421,-0.533262109594593,-0.4583343286351411,0.193144819205758,0.24627326727915055,0.264,,,,,,,,,-0.12222222222222223
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE,k=-3,,,-3.0,pretrend,-0.06636388562463015,0.17318919195743468,-0.44632974473152814,-0.3736603773562315,0.19996287952467573,0.278568092185503,0.2713333333333333,,,,,,,,,-0.08148148148148149
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE,k=-2,,,-2.0,pretrend,0.023696104066219283,0.13755798799612692,-0.25359639740596807,-0.20401923106575245,0.2755433026146586,0.33944406160171947,0.244,,,,,,,,,-0.040740740740740744
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE,slope,,,,pretrend,0.03456630965920651,0.06403089158806456,-0.09102711566671026,-0.06657856692957552,0.14317343716042746,0.1728802765603143,0.2753333333333333,,,,,,,,,0.040740740740740744
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE,any,,,,pretrend,,,,,,,0.244,,,,,,,,,0.040740740740740744
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE,any_bonf,,,,pretrend,,,,,,,0.732,,,,,,,,,0.040740740740740744
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,0.34460900305539516,0.2523292566180247,-0.14577360932960545,-0.04062805993050906,0.76764038551038,0.84260060612048,0.07466666666666667,,,,,,,,,0.5999999999999999
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.030654894355474634,0.19896920050942832,-0.4375613060140932,-0.3542350246922328,0.3211707021752321,0.4037685580393005,0.3333333333333333,,,,,,,,,0.3999999999999999
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,0.051474743804493434,0.16722973759904278,-0.24571945802952047,-0.19068370308490626,0.37214789338893495,0.46861759448142376,0.21,,,,,,,,,0.19999999999999996
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.4356071874005015,0.2304827376614163,-0.896671270552955,-0.8091661923124353,-0.06201250486006518,0.0006607347411124865,0.025333333333333333,,,,,,,,,-0.6
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.08998675677191766,0.1861606336916644,-0.5093373364830083,-0.4301893657394777,0.18310621725411913,0.2648568771868478,0.23933333333333334,,,,,,,,,-0.39999999999999997
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,0.005319465470130225,0.14702766233577427,-0.32326799153499824,-0.25062039930473345,0.2717459091473891,0.33413156376151426,0.27666666666666667,,,,,,,,,-0.19999999999999998
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,-0.17254671895471058,0.2004944234395655,-0.5830381816665586,-0.5096528336996711,0.14460785059433726,0.20116618495253893,0.198,,,,,,,,,-0.2
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,-0.06789120881260674,0.1746281604717611,-0.45010425516318187,-0.38612977175747354,0.19964434175412524,0.27217092968425394,0.272,,,,,,,,,-0.13333333333333333
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,0.022318256613160135,0.1387831131111374,-0.2560937807636046,-0.2069502641839822,0.27511815982918864,0.34460360971328075,0.246,,,,,,,,,-0.06666666666666667
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,-0.07281452466881157,0.1980344980023821,-0.4884040681400831,-0.4055260971085522,0.24554936505074573,0.30148539199118174,0.36333333333333334,,,,,,,,,-0.033333333333333326
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,-0.06635831027359025,0.17411599333975586,-0.4481068027039349,-0.37388647441063677,0.20923289097116504,0.27975319271759924,0.276,,,,,,,,,-0.022222222222222216
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUB,X2=high_k=-2,,,-2.0,pretrend,0.023861506956666327,0.13776515228135752,-0.25092753338462787,-0.20296212578159645,0.2852235848562206,0.3403815070703022,0.24133333333333334,,,,,,,,,-0.011111111111111108
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUBC,X1_k=-4,,,-4.0,pretrend,-0.7802161904558967,0.27580697220007927,-1.3684499930744756,-1.2483633440671744,-0.38789725771830313,-0.2099071688038337,0.008666666666666666,,,,,,,,,-1.1999999999999997
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUBC,X1_k=-3,,,-3.0,pretrend,-0.059331862416443004,0.16627875373209966,-0.6100111204849578,-0.48096558901631287,1.2226331058684524e-15,0.002304052119023314,0.32466666666666666,,,,,,,,,-0.7999999999999998
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUBC,X1_k=-2,,,-2.0,pretrend,-0.04615527833436321,0.14763107547191137,-0.5723710361535285,-0.43923702021793376,7.362166432045563e-16,1.4432899320127035e-15,0.22466666666666665,,,,,,,,,-0.3999999999999999
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUBC,X1_slope,,,,pretrend,0.1789619696096385,0.07547342786036798,0.05046229586213178,0.08358021116304351,0.3232396668568424,0.3622973790392135,0.008666666666666666,,,,,,,,,0.3999999999999999
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUBC,X1_any,,,,pretrend,,,,,,,0.008666666666666666,,,,,,,,,0.3999999999999999
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUBC,X1_any_bonf,,,,pretrend,,,,,,,0.026,,,,,,,,,0.3999999999999999
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUBC,X2_k=-4,,,-4.0,pretrend,0.09973219428589905,0.05649718141400617,-0.0404258031612132,0.0,0.1728459707212539,0.18987324473571549,0.048,,,,,,,,,0.16666666666666669
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUBC,X2_k=-3,,,-3.0,pretrend,0.0015328985390164877,0.04333357973439661,-0.1011095857234651,-0.029886581250611628,0.06637193936271484,0.08636098423036606,0.36466666666666664,,,,,,,,,0.11111111111111112
canonical,PT_violation_het20,1,200,0,pretrend_unit,PRE_SUBC,X2_k=-2,,,-2.0,pretrend,0.0015432503435061887,0.03692951675040085,-0.06870925318913595,-0.0019732623827276963,0.060415724445512804,0.07934377925269619,0.27066666666666667,,,,,,,,,0.05555555555555556
